City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Santiago del Estero,AR,-27.7951,-64.2615,70.81,66,60,8.66,broken clouds
80,Quatre Cocos,MU,-20.2078,57.7625,71.1,76,74,14.76,broken clouds
81,Mingguang,CN,32.7802,117.9638,86.31,58,12,14.32,few clouds
82,Vila Velha,BR,-20.3297,-40.2925,78.75,78,90,10.36,overcast clouds
83,Saldanha,ZA,-33.0117,17.9442,53.13,67,74,12.62,broken clouds
84,Castro,BR,-24.7911,-50.0119,60.33,97,100,4.21,overcast clouds
85,Nagarote,NI,12.2659,-86.5647,78.57,78,9,8.08,clear sky
86,Torbay,CA,47.6666,-52.7314,55.27,91,100,1.01,overcast clouds
87,Itarema,BR,-2.9248,-39.9167,78.53,82,3,15.9,clear sky
88,Zheleznodorozhnyy,RU,55.7503,38.0042,36.36,77,69,3.0,broken clouds
89,Camacupa,AO,-12.0167,17.4833,65.12,66,5,3.74,clear sky
90,Westport,US,41.1415,-73.3579,70.99,83,1,1.01,clear sky
91,Aklavik,CA,68.2191,-135.0107,32.85,95,100,15.05,overcast clouds
92,Vostok,RU,46.4856,135.8833,47.19,50,100,5.21,overcast clouds
93,Dingle,PH,10.9995,122.6711,83.84,78,98,3.27,overcast clouds
94,Harbin,CN,45.75,126.65,59.94,80,100,15.19,moderate rain
95,Otjiwarongo,NA,-20.4637,16.6477,51.04,18,0,12.24,clear sky
96,Wajima,JP,37.4,136.9,73.58,70,1,5.12,clear sky
97,Katsuura,JP,35.1333,140.3,75.31,73,8,11.54,clear sky
98,Cherskiy,RU,68.75,161.3,27.07,94,100,12.12,overcast clouds
99,Barrington,US,41.7407,-71.3087,66.56,77,1,4.0,clear sky
100,Umm Hājar,TD,13.2954,19.6966,82.56,42,97,3.36,overcast clouds
101,Ribeira Grande,PT,38.5167,-28.7,71.56,89,95,10.36,overcast clouds
102,Isla Vista,US,34.4133,-119.861,78.98,55,1,6.91,clear sky
103,Olafsvik,IS,64.8945,-23.7142,40.14,80,100,31.99,overcast clouds
104,Tazovsky,RU,67.4667,78.7,26.89,85,70,13.33,broken clouds
105,Bengkulu,ID,-3.8004,102.2655,81.16,74,28,1.97,scattered clouds
106,Windhoek,NA,-22.5594,17.0832,50.11,26,0,5.23,clear sky
107,Vila Franca do Campo,PT,37.7167,-25.4333,73.2,92,92,7.16,overcast clouds
108,Olavarría,AR,-36.8927,-60.3225,47.01,82,0,16.04,clear sky
109,Port Alfred,ZA,-33.5906,26.891,53.22,68,85,21.45,light rain
110,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,45,13.09,scattered clouds
111,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
112,Atuona,PF,-9.8,-139.0333,78.1,75,9,20.38,clear sky
113,Saint George,US,37.1041,-113.5841,81.19,17,1,8.05,clear sky
114,Lebu,CL,-37.6167,-73.65,48.24,72,6,17.78,clear sky
115,Geraldton,AU,-28.7667,114.6,66.61,63,90,16.11,overcast clouds
116,Sambava,MG,-14.2667,50.1667,67.62,84,41,8.32,scattered clouds
117,Saint Anthony,US,45.0205,-93.218,67.24,94,90,1.01,overcast clouds
118,Aripuanã,BR,-9.1667,-60.6333,72.19,95,78,3.98,broken clouds
119,Vao,NC,-22.6667,167.4833,72.3,92,97,14.45,overcast clouds
120,Cape Town,ZA,-33.9258,18.4232,52.12,69,24,5.48,few clouds
121,Wilmington,US,34.2257,-77.9447,74.86,88,1,0.0,clear sky
122,Londiani,KE,-0.165,35.5909,54.84,92,100,1.14,overcast clouds
123,Kozluk,TR,38.1938,41.4885,61.05,34,73,7.0,broken clouds
124,Departamento de Maldonado,UY,-34.6667,-54.9167,58.23,76,100,10.11,overcast clouds
125,Tiznit Province,MA,29.5833,-9.5,70.03,46,0,3.15,clear sky
126,Severo-Kuril'sk,RU,50.6789,156.125,47.12,96,100,18.25,moderate rain
127,Kahului,US,20.8947,-156.47,86.02,71,40,21.85,scattered clouds
128,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,20.71,few clouds
129,Cururupu,BR,-1.8283,-44.8683,75.65,88,12,3.87,few clouds
130,Letterkenny,IE,54.95,-7.7333,46.49,93,94,7.85,overcast clouds
131,Teguise,ES,29.0605,-13.564,66.42,88,0,11.5,clear sky
132,Palmer,US,42.1584,-72.3287,64.33,72,16,2.3,few clouds
133,Khandyga,RU,62.6667,135.6,35.04,80,100,2.89,overcast clouds
134,Port Elizabeth,ZA,-33.918,25.5701,50.09,69,54,15.73,broken clouds
135,Byron Bay,AU,-28.65,153.6167,85.05,40,15,2.93,few clouds
136,Upernavik,GL,72.7868,-56.1549,30.25,72,100,7.65,overcast clouds
137,Plettenberg Bay,ZA,-34.0527,23.3716,48.11,73,47,9.28,scattered clouds
138,Roald,NO,62.5833,6.1333,53.74,58,100,12.66,overcast clouds
139,Hasaki,JP,35.7333,140.8333,79.2,66,0,12.93,clear sky
140,Polunochnoye,RU,60.8697,60.4153,26.65,96,53,4.76,broken clouds
141,Smithers,CA,54.7804,-127.1743,41.41,83,61,3.85,broken clouds
142,Lola,GN,7.8,-8.5333,70.09,99,100,2.24,light rain
143,Vila,PT,42.0304,-8.1588,52.74,95,100,7.09,light rain
144,Petra,JO,30.3222,35.4793,57.94,79,7,3.8,clear sky
145,Makakilo City,US,21.3469,-158.0858,82.72,61,40,8.05,scattered clouds
146,Moranbah,AU,-22.0016,148.0466,93.47,17,0,11.7,clear sky
147,Asău,RO,46.4333,26.4,41.76,91,0,2.15,clear sky
148,Verkhnyaya Maksakovka,RU,61.635,50.9674,30.22,100,40,4.47,scattered clouds
149,Sørland,NO,67.667,12.6934,52.97,84,100,18.01,overcast clouds
150,Pisco,PE,-13.7,-76.2167,61.02,88,0,11.5,clear sky
151,Methóni,GR,36.8197,21.7049,65.21,65,0,7.65,clear sky
152,Barabai,ID,-2.5833,115.3833,84.99,72,97,2.28,overcast clouds
153,Little Current,CA,45.9793,-81.9248,62.69,99,100,7.72,light rain
154,Kavaratti,IN,10.5669,72.642,81.28,81,100,13.98,overcast clouds
155,Lubao,PH,14.9167,120.55,87.15,72,61,7.29,broken clouds
156,Kharsāwān,IN,22.8,85.8333,78.87,87,97,4.5,overcast clouds
157,Namatanai,PG,-3.6667,152.4333,86.18,64,88,3.22,overcast clouds
158,Bethel,US,41.3712,-73.414,66.56,86,1,3.44,clear sky
159,Shelburne,CA,44.0787,-80.2041,66.13,71,97,9.6,overcast clouds
160,Ola,RU,59.5833,151.2833,43.79,69,100,9.06,overcast clouds
161,Provideniya,RU,64.3833,-173.3,29.17,69,0,1.34,clear sky
162,Hilo,US,19.7297,-155.09,82.13,76,40,10.36,scattered clouds
163,Tottori-shi,JP,35.5,134.2333,78.91,47,0,2.75,clear sky
164,Thessalon,CA,46.2501,-83.5666,64.89,98,98,8.41,overcast clouds
165,Linqing,CN,36.8456,115.7117,70.02,92,100,5.28,moderate rain
166,Watsa,CD,3.0372,29.5355,63.36,99,98,2.13,light rain
167,Korla,CN,41.7597,86.1469,51.15,40,100,16.6,overcast clouds
168,Lompoc,US,34.6391,-120.4579,77.77,93,1,4.61,mist
169,Sisimiut,GL,66.9395,-53.6735,33.85,76,42,8.48,scattered clouds
170,Soto la Marina,MX,23.7667,-98.2167,76.46,92,83,2.75,broken clouds
171,Ancud,CL,-41.8697,-73.8203,42.33,84,44,7.63,scattered clouds
172,Evensk,RU,61.95,159.2333,38.41,94,97,8.93,overcast clouds
173,Kruisfontein,ZA,-34.0033,24.7314,47.88,71,66,12.26,broken clouds
174,Dalvik,IS,65.9702,-18.5286,39.06,99,100,21.3,overcast clouds
175,Thomastown,IE,52.5267,-7.1372,48.72,86,43,8.16,scattered clouds
176,Mossamedes,AO,-15.1961,12.1522,58.21,88,11,4.5,few clouds
177,Finschhafen,PG,-6.6024,147.8681,82.78,75,91,2.04,overcast clouds
178,Butembo,CD,0.15,29.2833,58.8,100,100,0.11,moderate rain
179,Hong Kong,HK,22.2855,114.1577,87.85,83,57,1.99,light rain
180,Padang,ID,-0.9492,100.3543,80.65,70,92,0.96,overcast clouds
181,Terenos,BR,-20.4422,-54.8603,78.51,69,40,14.97,scattered clouds
182,Rocha,UY,-34.4833,-54.3333,53.53,78,100,7.18,overcast clouds
183,Souillac,MU,-20.5167,57.5167,71.37,75,45,12.68,scattered clouds
184,Kautokeino,NO,69.0125,23.0412,44.19,86,100,23.69,overcast clouds
185,Tiksi,RU,71.6872,128.8694,27.81,83,76,15.95,broken clouds
186,Baharly,TM,38.4362,57.4316,53.35,35,0,6.87,clear sky
187,El Alto,PE,-4.2714,-81.2147,62.13,85,33,18.34,scattered clouds
188,Gimli,CA,50.6336,-96.9907,58.05,60,0,0.89,clear sky
189,Gravdal,NO,68.1214,13.5031,51.49,88,100,14.76,light rain
190,Luanshya,ZM,-13.1367,28.4166,67.75,72,57,4.38,broken clouds
191,Thompson,CA,55.7435,-97.8558,53.11,67,31,2.73,scattered clouds
192,Alta Floresta,BR,-9.8756,-56.0861,70.09,94,100,4.12,overcast clouds
193,Chokurdakh,RU,70.6333,147.9167,26.71,92,100,7.94,overcast clouds
194,Laguna,US,38.421,-121.4238,85.1,31,1,3.44,clear sky
195,Novoagansk,RU,61.9449,76.6625,28.9,96,92,6.55,overcast clouds
196,Caravelas,BR,-17.7125,-39.2481,75.2,85,2,13.38,clear sky
197,Kulhudhuffushi,MV,6.6221,73.07,82.89,77,100,15.57,overcast clouds
198,San Jerónimo,PE,-11.9472,-75.2829,53.51,74,50,2.37,scattered clouds
199,Mezhdurechenskiy,RU,59.6,65.9333,32.52,78,92,7.43,overcast clouds
200,Hofn,IS,64.2539,-15.2082,45.63,71,84,19.64,broken clouds
201,Carnarvon,AU,-24.8667,113.6333,69.87,52,90,13.8,overcast clouds
202,Bubaque,GW,11.2833,-15.8333,81.43,77,97,7.67,overcast clouds
203,Leisure City,US,25.4954,-80.4292,82.02,71,1,9.22,clear sky
204,Darhan,MN,49.4867,105.9228,39.18,70,100,1.19,overcast clouds
205,Sármellék,HU,46.7122,17.1687,52.72,93,0,6.91,clear sky
206,Rosetown,CA,51.5501,-108.0014,58.98,30,100,9.75,overcast clouds
207,Deputatsky,RU,69.3,139.9,20.37,81,15,3.94,few clouds
208,San Patricio,US,28.017,-97.5169,80.89,73,100,6.02,overcast clouds
209,Guerrero Negro,MX,27.9769,-114.0611,75.2,72,34,14.83,scattered clouds
210,Xiazhen,CN,34.8022,117.1117,80.42,70,100,12.84,light rain
211,Longyearbyen,SJ,78.2186,15.6401,36.97,99,100,2.3,light rain
212,Churapcha,RU,62.0025,132.4325,31.53,81,100,2.93,overcast clouds
213,Macapá,BR,0.0389,-51.0664,85.98,79,20,5.75,few clouds
214,La Asuncion,VE,11.0333,-63.8628,80.67,81,81,16.6,broken clouds
215,Kandrian,PG,-6.2167,149.55,85.53,65,100,5.32,overcast clouds
216,Narsaq,GL,60.9167,-46.05,53.82,63,0,2.35,clear sky
217,Gamba,GA,-2.65,10.0,75.42,88,100,6.46,light rain
